日期,区域,产品,销量,单价
1/28/2026,南京,C,15,83
1/5/2026,扬州,D,30,90
1/20/2026,常州,A,15,94
1/9/2026,无锡,B,6,90
1/11/2026,无锡,D,20,104
1/4/2026,镇江,D,28,78
1/3/2026,南京,D,41,105
1/3/2026,南京,A,50,100
1/10/2026,常州,B,6,116
1/19/2026,镇江,D,25,91
1/11/2026,常州,A,37,116
1/12/2026,无锡,A,30,94
1/3/2026,无锡,C,16,119
1/12/2026,常州,C,21,79
1/17/2026,常州,D,29,91
1/19/2026,扬州,C,36,90
1/21/2026,镇江,D,3,82
1/9/2026,无锡,A,12,100
1/25/2026,扬州,C,14,113
1/20/2026,南京,C,44,96
1/8/2026,南京,A,0,77
1/7/2026,常州,D,11,100
1/16/2026,苏州,C,47,117
1/1/2026,常州,A,2,110
1/22/2026,苏州,A,28,120
1/21/2026,苏州,A,31,90
1/17/2026,常州,A,5,119
1/25/2026,无锡,B,25,96
1/4/2026,南京,A,44,83
1/12/2026,苏州,A,25,113
1/11/2026,扬州,D,45,121
1/26/2026,苏州,B,4,89
1/17/2026,苏州,B,40,114
1/15/2026,扬州,A,30,97
1/14/2026,镇江,A,49,114
1/17/2026,无锡,A,2,111
1/17/2026,扬州,C,29,100
1/7/2026,苏州,D,19,115
1/21/2026,无锡,D,38,86
1/5/2026,扬州,C,26,80
1/8/2026,苏州,D,8,97
1/28/2026,南京,D,50,104
1/18/2026,扬州,C,8,99
1/21/2026,南京,C,46,78
1/6/2026,无锡,D,11,86
1/10/2026,常州,C,30,119
1/27/2026,无锡,C,38,96
1/12/2026,无锡,B,5,120
1/6/2026,南京,D,16,94
