日期,区域,产品,销量,单价
2026-01-01,常州,A,2,110
2026-01-03,南京,D,41,105
2026-01-03,南京,A,50,100
2026-01-03,无锡,C,16,119
2026-01-04,南京,A,44,83
2026-01-04,镇江,D,28,78
2026-01-05,扬州,D,30,90
2026-01-05,扬州,C,26,80
2026-01-06,南京,D,16,94
2026-01-06,无锡,D,11,86
2026-01-07,苏州,D,19,115
2026-01-07,常州,D,11,100
2026-01-08,苏州,D,8,97
2026-01-08,南京,A,0,77
2026-01-09,无锡,B,6,90
2026-01-09,无锡,A,12,100
2026-01-10,常州,B,6,116
2026-01-10,常州,C,30,119
2026-01-11,无锡,D,20,104
2026-01-11,常州,A,37,116
2026-01-11,扬州,D,45,121
2026-01-12,苏州,A,25,113
2026-01-12,无锡,B,5,120
2026-01-12,常州,C,21,79
2026-01-12,无锡,A,30,94
2026-01-14,镇江,A,49,114
2026-01-15,扬州,A,30,97
2026-01-16,苏州,C,47,117
2026-01-17,无锡,A,2,111
2026-01-17,苏州,B,40,114
2026-01-17,扬州,C,29,100
2026-01-17,常州,D,29,91
2026-01-17,常州,A,5,119
2026-01-18,扬州,C,8,99
2026-01-19,镇江,D,25,91
2026-01-19,扬州,C,36,90
2026-01-20,南京,C,44,96
2026-01-20,常州,A,15,94
2026-01-21,苏州,A,31,90
2026-01-21,镇江,D,3,82
2026-01-21,无锡,D,38,86
2026-01-21,南京,C,46,78
2026-01-22,苏州,A,28,120
2026-01-25,无锡,B,25,96
2026-01-25,扬州,C,14,113
2026-01-26,苏州,B,4,89
2026-01-27,无锡,C,38,96
2026-01-28,南京,D,50,104
2026-01-28,南京,C,15,83
